cbsa,metro_name.x,year,qtr,index_nsa,index_sa,metro_name.y,hpi_at_sa,RegionID,RegionName.x,RegionType,StateName,zhvi_yoy,zhvi_qoq,name_short,metro_name,population,pop_yoy_growth,pop_velocity_3yr,pop_accleration,RegionName.y,zhvi_qtr,median_income,income_moe,price_to_income_ratio,affordability_burden
10580,"Albany-Schenectady-Troy, NY",1991,1,100,100,"Albany-Schenectady-Troy, NY",0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1991,2,99.85,100.31,"Albany-Schenectady-Troy, NY",0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1991,3,100.2,100.42,"Albany-Schenectady-Troy, NY",0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1991,4,99.83,98.8,"Albany-Schenectady-Troy, NY",0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1992,1,102.8,102.86,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1992,2,100.71,101.13,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1992,3,101.03,101.23,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1992,4,103.55,102.48,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1993,1,101.97,102.19,"Albany-Schenectady-Troy, NY",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1993,2,99.82,100.08,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1993,3,100.05,100.18,"Albany-Schenectady-Troy, NY",0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1993,4,99.32,98.41,"Albany-Schenectady-Troy, NY",0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10580,"Albany-Schenectady-Troy, NY",1994,1,97.75,98.11,"Albany-Schenectady-Troy, NY",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
